TYPE,NAME,DESC,SAMPLE_ID,VISIBLE_ID,LATITUDE,LONGITUDE,TOWN,LGA,STATE,COUNTRY
T,NULL,NULL,637211960,483,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.135188128106265,5.365048721001279,NULL,Ekiti,Kwara,Nigeria
T,NULL,NULL,637211478,1,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.803790472178974,6.304509096762894,NULL,Ukwuani,Delta,Nigeria
T,NULL,NULL,637211708,231,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.96415347308023,4.6344479119582305,NULL,Moro,Kwara,Nigeria
T,NULL,NULL,637211607,130,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.457220435189754,7.548226876936246,NULL,Ikwuano,Abia,Nigeria
T,NULL,NULL,637211978,501,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.056765204108729,5.143524260338737,NULL,Moba,Ekiti,Nigeria
T,NULL,NULL,637211899,422,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,10.204906543040991,5.174243900025158,NULL,Mashegu,Niger,Nigeria
T,NULL,NULL,637211945,468,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.12827567507506,7.531514495525862,Abuja,Municipal Area Council,Federal Capital Territory,Nigeria
T,NULL,NULL,637211584,107,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.35904372313054,11.187480070448826,NULL,Gashaka,Taraba,Nigeria
T,NULL,NULL,637211567,90,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.512466825188,8.192588388155103,NULL,Biase,Cross River,Nigeria
T,NULL,NULL,637211660,183,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.218448232197133,8.192858100602148,NULL,Odukpani,Cross River,Nigeria
T,NULL,NULL,637211787,310,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.201483796104185,5.960901173634167,NULL,Mopa-Muro,Kogi,Nigeria
T,NULL,NULL,637211687,210,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.703902386151,3.9302610227739656,Ìjẹ̀bú Òde,NULL,Ogun,Nigeria
T,NULL,NULL,637211828,351,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.824730366115986,4.256348341534822,Ejigbo,NULL,Osun,Nigeria
T,NULL,NULL,637211813,336,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.989930547110816,6.0832519529252105,NULL,Kabba/Bunu,Kogi,Nigeria
T,NULL,NULL,637211926,449,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.6058063571540515,4.172267250111651,NULL,Ijebu East,Ogun,Nigeria
T,NULL,NULL,637211609,132,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.421755278065788,5.485780718808395,NULL,Lavun,Niger,Nigeria
T,NULL,NULL,637211723,246,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.133382349168727,6.627632833135575,NULL,Oshimili North,Delta,Nigeria
T,NULL,NULL,637211804,327,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.736700043087353,5.183947651960739,NULL,Edu,Kwara,Nigeria
T,NULL,NULL,637211540,63,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.696895527151213,5.656104353271821,NULL,NULL,NULL,NULL
T,NULL,NULL,637211722,245,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.138327658137456,3.7602095233125943,NULL,Obafemi Owode,Ogun,Nigeria
T,NULL,NULL,637211742,265,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.147315385105884,5.848521993261879,NULL,Mopa-Muro,Kogi,Nigeria
T,NULL,NULL,637211674,197,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.275850579195378,8.227622860098657,NULL,Akamkpa,Cross River,Nigeria
T,NULL,NULL,637211635,158,NULL,NULL,NULL,NULL,NULL,NULL
